State,Jurisdiction Name,Jurisdiction Type,Date,Description,Finance Mechanism,"""Other"" Comment",Purpose,Total Funds at Stake,Conservation Funds at Stake,Total Funds Approved,Conservation Funds Approved,Pass?,Status,% Yes,% No,Notes,Voted Acq. Measure
TX,San Antonio,Municipal,05-07-2005,1/8 of one percent sales tax to permanently protect significant portions of watershed that contribute to Edwards Aquifer to protect the city's drinking water.  Land will also be protected for wildlife habitat.,Sales tax,,"Watershed protection, wildlife habitat","$90,000,000","$90,000,000","$90,000,000","$90,000,000",yes,Pass,55.11247628512%,44.88752371488%,,yes
TX,Plano,Municipal,05-07-2005,"Proposition 4, Bonds for parks and recreation facilities",Bond,,"Trails, parks, open space, recreation","$57,775,000","$37,600,000","$57,775,000","$37,600,000",yes,Pass,72.79493269992%,27.20506730008%,Collin County,yes
TX,Arlington,Municipal,05-07-2005,"Bond to acquire, develop, renovate and improve parks and open spaces",Bond,,"Parks, recreation, open space","$13,600,000","$3,375,000","$13,600,000","$3,375,000",yes,Pass,58.601668620285%,41.398331379715%,Tarrant County,yes
TX,San Antonio,Municipal,05-07-2005,1/8 of one percent sales tax to fund the acquisition of open space and linear parks,Sales tax,,"Open space, parks, recreation","$45,000,000","$45,000,000","$45,000,000","$45,000,000",yes,Pass,53.816852186256%,46.183147813744%,Bexar County,yes
MA,Dennis,Municipal,05-10-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$15,500,000","$5,166,666","$15,500,000","$5,166,666",yes,Pass,88.924050632911%,11.075949367089%,,yes
MA,Truro,Municipal,05-10-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$4,640,460","$1,546,820","$4,640,460","$1,546,820",yes,Pass,82.817869415808%,17.182130584192%,Barnstable County,yes
MA,Hamilton,Municipal,05-12-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$5,360,000","$1,786,667","$5,360,000","$1,786,667",yes,Pass,56.55737704918%,43.44262295082%,Initiative petition,yes
MA,Belchertown,Municipal,05-16-2005,"Community Preservation Act, 1.5% property tax surcharge",Property tax,,Open space,"$4,400,000","$1,460,667","$4,400,000","$1,460,667",yes,Pass,55.501051156272%,44.498948843728%,Initiative petition,yes
AZ,Peoria,Municipal,05-17-2005,"Bond to acquire, construct, improve and equip one or more parks for use as open space and for recreational purposes",Bond,,"Open space, parks, trails, recreation","$35,000,000","$23,000,000","$35,000,000","$23,000,000",yes,Pass,77.303200692042%,22.696799307958%,,yes
MA,Brewster,Municipal,05-17-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$11,506,380","$3,835,460","$11,506,380","$3,835,460",yes,Pass,82.163080407701%,17.836919592299%,,yes
MA,Eastham,Municipal,05-17-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$7,697,160","$2,565,720","$7,697,160","$2,565,720",yes,Pass,88.795986622074%,11.204013377926%, Barnstable County,yes
MA,Falmouth,Municipal,05-17-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$35,422,760","$11,807,586","$35,422,760","$11,807,586",yes,Pass,85.35734226689%,14.64265773311%,,yes
MA,Harwich,Municipal,05-17-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$6,000,000","$2,000,000","$6,000,000","$2,000,000",yes,Pass,82.000864304235%,17.999135695765%,,yes
MA,Orleans,Municipal,05-17-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$8,716,700","$2,905,567","$8,716,700","$2,905,567",yes,Pass,92.984869325997%,7.0151306740028%,,yes
MA,Manchester-by-the-Sea,Municipal,05-17-2005,"Community Preservation Act, .5% property tax surcharge",Property tax,,Open space,"$1,280,000","$426,667","$1,280,000","$426,667",yes,Pass,57.43842364532%,42.56157635468%,,yes
PA,Derry Township,Municipal,05-17-2005,"10-year, .1% earned income tax increase for land acquisition and preservation",Income tax,,Open space,"$5,000,000","$5,000,000",,,no,Fail,44.175438596491%,55.824561403509%,Dauphin County,yes
PA,Chadds Ford Township,Municipal,05-17-2005,".28 millage increase for buying land, easements, and development rights for the preservation of open space",Property tax,,Open space,"$2,500,000","$2,500,000","$2,500,000","$2,500,000",yes,Pass,71.782945736434%,28.217054263566%,Delaware County,yes
PA,Moore Township,Municipal,05-17-2005,.25% earned income tax increase to fund farmland preservation,Income tax,,"Farmland, open space","$10,000,000","$10,000,000","$10,000,000","$10,000,000",yes,Pass,54.730538922156%,45.269461077844%,Northampton County,yes
PA,Middletown Township,Municipal,05-17-2005,Bond to purchase 72 acres of land to keep as open space,Bond,,"Open space, recreation","$8,500,000","$8,500,000","$8,500,000","$8,500,000",yes,Pass,79.213701829506%,20.786298170494%,Delaware County,yes
PA,Pennsylvania,State,05-17-2005,"""Growing Greener II"", Environmental bond for watershed protection, expansion of open space and farmland, and maintenance",Bond,,"Open space, farmland, watershed protection","$625,000,000","$297,500,000","$625,000,000","$297,500,000",yes,Pass,60.563561395393%,39.436438604607%,,yes
PA,Kennett Township,Municipal,05-17-2005,One quarter of one percent earned income tax for open space preservation,Income tax,,Open space,"$14,000,000","$14,000,000","$14,000,000","$14,000,000",yes,Pass,75.869809203143%,24.130190796857%,Chester County,yes
PA,Bedminster Township,Municipal,05-17-2005,"Bond to acquire open space, agricultural or natural resource conservation easements, development rights or recreation and historic lands",Bond,,"Open space, farmland, recreation","$2,500,000","$2,500,000","$2,500,000","$2,500,000",yes,Pass,68.903803131991%,31.096196868009%,Bucks County,yes
PA,New Garden Township,Municipal,05-17-2005,".125 percent earned income tax increase for acquisition of open space, recreational lands, parks, watershed protection, and farmland ",Income tax,,"Open space, recreation, farmland, parks, watershed protection","$8,000,000","$8,000,000","$8,000,000","$8,000,000",yes,Pass,67.292225201072%,32.707774798928%,Chester County,yes
MA,Marion,Municipal,05-31-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open Space,"$3,600,000","$1,200,000","$3,600,000","$1,200,000",yes,Pass,70.787401574803%,29.212598425197%,,yes
MI,Webster Township,Municipal,08-02-2005,"5-year, .5 millage property tax increase for the preservation of farmland, open space, wildlife habitat, scenic views, and water quality",Property tax,,"Farmland, open space, wildlife habitat, watershed protection, trails","$851,840","$851,840","$851,840","$851,840",yes,Pass,69.005010737294%,30.994989262706%,Washtenaw County,yes
MI,Rochester Hills,Municipal,09-13-2005,"10-year, .3 mill property tax for the preservation of green space",Property tax,,Open space,"$10,205,930","$10,205,930","$10,205,930","$10,205,930",yes,Pass,52.697453603798%,47.302546396202%,Oakland County,yes
FL,Davie,Municipal,09-29-2005,"Bond to purchase and preserve open space, habitat, parks and trails",Bond,,"Open space, trails, parks, wildlife habitat, watershed protection","$25,000,000","$25,000,000","$25,000,000","$25,000,000",yes,Pass,60.48658947677%,39.51341052323%, Broward County,yes
CO,Evergreen Park and Recreation District,Special District,11-01-2005,"Bond for recreation facilities and the purchase of land for recreation, open space and trails",Bond,,"Open space, parks, recreation, trails","$6,500,000","$4,000,000","$6,500,000","$4,000,000",yes,Pass,62.166155244914%,37.833844755086%,"Mail-in ballot, Jefferson County",yes
CO,Superior,Municipal,11-01-2005,Bond to preserve open space and other natural areas,Bond,,"Open space, watershed protection, wildlife habitat, trails, recreation","$12,000,000","$12,000,000","$12,000,000","$12,000,000",yes,Pass,55.416666666667%,44.583333333333%,Boulder County,yes
CA,Portola Valley,Municipal,11-08-2005,"4-year, extension of 2% utility tax to acquire and preserve open space",Other,Utility Tax,"Open space, farmland, parks","$800,000","$800,000","$800,000","$800,000",yes,Pass,57.742257742258%,42.257742257742%,Depends on passage of Prop. H which would extend the general utility tax.  San Mateo County,yes
CO,Routt County,County,11-08-2005,"20-year, 1.5 mill levy for the preservation of water quality, wildlife habitat, ranchlands and natural areas",Property tax,,"Open space, farmland, watershed protection, wildlife habitat","$20,780,000","$20,780,000","$20,780,000","$20,780,000",yes,Pass,58.80255534096%,41.19744465904%,,yes
CT,Mansfield,Municipal,11-08-2005,Bond for the acquisition of land for open space and recreational uses,Bond,,"Open space, recreation","$1,000,000","$1,000,000",,,no,Fail,45.17006802721%,54.82993197279%,,yes
CT,South Windsor,Municipal,11-08-2005,Bond for the acquisition and preservation of open space and farmland,Bond,,"Open space, farmland","$4,000,000","$4,000,000","$4,000,000","$4,000,000",yes,Pass,64.383989993746%,35.616010006254%,,yes
FL,Sarasota County,County,11-08-2005,"10-year, .25 mill property tax extension to purchase and protect environmentally sensitive lands",Property tax,,"Open space, parks","$170,000,000","$170,000,000","$170,000,000","$170,000,000",yes,Pass,79.884742041712%,20.115257958288%,,yes
FL,Sarasota County,County,11-08-2005,Bond for the acquisition and management of environmentally sensitive lands and neighborhood parkland,Bond,,"Parks, open space, recreation",,,,,yes,Pass,77.696943869475%,22.303056130525%,Bond authorization of $250M,yes
GA,DeKalb County,County,11-08-2005,Bond for green space and park projects including land acquisition,Bond,,"Open space, parks, recreation","$96,460,000","$30,000,000","$96,460,000","$30,000,000",yes,Pass,52.27197419868%,47.72802580132%,,yes
MA,Weymouth,Municipal,11-08-2005,"Community Preservation Act, 1% property tax surcharge",Property tax,,Open space,"$9,000,000","$3,000,000","$9,000,000","$3,000,000",yes,Pass,50.69857312723%,49.30142687277%,,yes
MA,Northampton,Municipal,11-08-2005,"Community Preservation Act,  3% property tax surcharge ",Property tax,,Open space,"$12,000,000","$4,000,000","$12,000,000","$4,000,000",yes,Pass,50.980829246545%,49.019170753455%,Initiative petition,yes
MA,Waltham,Municipal,11-08-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$35,000,000","$11,666,666","$35,000,000","$11,666,666",yes,Pass,50.032289312238%,49.967710687762%,Initiative petition,yes
MA,Watertown,Municipal,11-08-2005,"Community Preservation Act, 2% property tax surcharge",Property tax,,Open space,"$8,000,000","$2,666,667",,,no,Fail,40.796430931923%,59.203569068077%,Initiative petition,yes
ME,Maine,State,11-08-2005,"Bond to purchase land to protect water fronts, habitat, and farmland",Bond,,"Farmland, watershed protection, wildlife habitat","$12,000,000","$12,000,000","$12,000,000","$12,000,000",yes,Pass,64.877832896606%,35.122167103394%,,yes
MI,Grosse Ile Township,Municipal,11-08-2005,"3-year, 1 mill property tax renewal to purchase land for open space",Property tax,,Open space,"$1,836,000","$1,836,000","$1,836,000","$1,836,000",yes,Pass,60.74586697424%,39.25413302576%,Wayne County,yes
MN,Woodbury,Municipal,11-08-2005,Bond to puchase open space throughout the city and to finance park improvements,Bond,,Open space,"$9,000,000","$6,000,000","$9,000,000","$6,000,000",yes,Pass,65.476673427992%,34.523326572008%,Washington County,yes
MN,Eden Prairie,Municipal,11-08-2005,Bond for the acquisition of park land and the improvement of exisiting parks,Bond,,"Parks, open space","$4,695,000","$2,000,000","$4,695,000","$2,000,000",yes,Pass,58.05983919863%,41.94016080137%,,yes
MO,Columbia,Municipal,11-08-2005,"5-year, extension of one-eighth of one percent sales tax for local parks",Sales tax,,"Parks, recreation","$12,000,000","$2,500,000","$12,000,000","$2,500,000",yes,Pass,53.153928955867%,46.846071044133%,Boone County,yes
NC,Mecklenburg County,County,11-08-2005,Bond for the purchase of land to protect the Mountain Island Lake watershed and for a community college and public school purposes,Bond,,"Watershed protection, parks","$66,000,000","$20,000,000",,,no,Fail,46.676336555427%,53.323663444573%,,yes
NJ,Chatham Township,Municipal,11-08-2005,1 cent per $100 property tax increase for acquiring and maintaining open space,Property tax,,Open space,"$5,400,000","$5,400,000","$5,400,000","$5,400,000",yes,Pass,54.688503532434%,45.311496467566%,Morris County,yes
NJ,Northvale Borough,Municipal,11-08-2005,"5-year, 1 cent per $100 property tax increase to establish an open space trust fund",Property tax,,Open space,"$415,000","$415,000","$415,000","$415,000",yes,Pass,56.830601092896%,43.169398907104%,Bergen County,yes
NJ,Woodcliff Lake Borough,Municipal,11-08-2005,5-year continuation of 1-cent per $100 property tax for the Open Space Trust Fund,Property tax,,Open space,"$1,797,480","$1,797,480","$1,797,480","$1,797,480",yes,Pass,63.459037711313%,36.540962288687%,Bergen County,yes
NJ,Point Pleasant Beach Borough,Municipal,11-08-2005,1 cent per $100 property tax increase to establish an Open Space Trust Fund,Property tax,,Open space,"$1,300,000","$1,300,000","$1,300,000","$1,300,000",yes,Pass,66.02192134107%,33.97807865893%,Ocean County,yes
NJ,Camden County,County,11-08-2005,1 cent per $100 property tax increase for open space preservation,Property tax,,Open space,"$50,000,000","$50,000,000","$50,000,000","$50,000,000",yes,Pass,67.958681751107%,32.041318248893%,,yes
NJ,Westampton Township,Municipal,11-08-2005,"20-year, 2 cents per $100 property tax increase for open space preservation",Property tax,,Open space,"$3,529,840","$3,529,840","$3,529,840","$3,529,840",yes,Pass,64.62289744981%,35.37710255019%,Burlington County,yes
NJ,Lumberton Township,Municipal,11-08-2005,Continuation of 3 cents per $100 property tax for open space and farmland preservation approved in 2003,Property tax,,"Open space, farmland","$4,000,000","$4,000,000",,,no,Fail,46.894994354535%,53.105005645465%,Failure of measure would reduce open space tax to 1-cent.  Burlington County,yes
NJ,West Deptford Township,Municipal,11-08-2005,"1 cent per $100 property tax increase for the acquisition, development, and maintenance of land for conservation purposes",Property tax,,"Open space, farmland","$2,800,000","$2,800,000","$2,800,000","$2,800,000",yes,Pass,56.211121583412%,43.788878416588%,Gloucester County,yes
NJ,Woodstown Borough,Municipal,11-08-2005,2 cents per $100 property tax for the purchase of open space,Property tax,,Open space,"$587,160","$587,160","$587,160","$587,160",yes,Pass,57.654431512981%,42.345568487019%,Salem County,yes
NJ,Sussex County,County,11-08-2005,1.5 cents per $100 property tax increase for open space and farmland preservation,Property tax,,"Open space, farmland","$45,000,000","$45,000,000","$45,000,000","$45,000,000",yes,Pass,57.196480657964%,42.803519342036%,,yes
